integration intervals,  MPI procs,  cpu time,  precision
1441440,  2,  0.23243793984875083E-001,  0.69351032960796033E-006
14414400,  2,  0.19003702502232045,  0.69367381172469322E-007
144144000,  2,  1.7302071138983592,  0.69371695055053806E-008
1441440000,  2,  16.905176713014953,  0.69394490154195410E-009
14414400000,  2,  166.51410169794690,  0.57759974581017559E-009
integration intervals,  MPI procs,  cpu time,  precision
1441440,  4,  0.27617190033197403E-001,  0.34679043636742790E-006
14414400,  4,  0.22791229200083762,  0.34684989991262682E-007
144144000,  4,  2.2476226730505005,  0.34687146488465714E-008
1441440000,  4,  20.558308450970799,  0.34677150040351989E-009
14414400000,  4,  169.24855081096757,  0.32076297173944113E-009
