1, 0
0.99, 0
0.98, 0
0.97, 0
0.96, 0
0.95, 0
0.94, 0
0.93, 0
0.92, 0
0.91, 0
0.9, 0
0.89, 0
0.88, 0
0.87, 0
0.86, 0
0.85, 0
0.84, 0
0.83, 0
0.82, 0
0.81, 0.000707305
0.8, 0.000835905
0.79, 0
0.78, 0
0.77, 0
0.76, 0
0.75, 0
0.74, 0
0.73, 0
0.72, 0.000964506
0.71, 0.000578704
0.7, 0.000707305
0.69, 0.00424383
0.68, 0.00366512
0.67, 0.00308642
0.66, 0.00135031
0.65, 0.00379372
0.64, 0.00597994
0.63, 0.00572274
0.62, 0.00488683
0.61, 0.00469393
0.6, 0.00366512
0.59, 0.00257202
0.58, 0.00552984
0.57, 0.00437243
0.56, 0.00379372
0.55, 0.00855195
0.54, 0.0133102
0.53, 0.0110597
0.52, 0.0194187
0.51, 0.0215406
0.5, 0.0221836
0.49, 0.0259131
0.48, 0.0315072
0.47, 0.0439172
0.46, 0.0441744
0.45, 0.0433385
0.44, 0.0555556
0.43, 0.070409
0.42, 0.116319
0.41, 0.130594
0.4, 0.153356
0.39, 0.179977
0.38, 0.196052
0.37, 0.245049
0.36, 0.330504
0.35, 0.412487
0.34, 0.514853
0.33, 0.582819
0.32, 0.639082
0.31, 0.682292
0.3, 0.697467
0.29, 0.706854
0.28, 0.730453
0.27, 0.732253
0.26, 0.743441
0.25, 0.759131
0.24, 0.766782
0.23, 0.770255
0.22, 0.780543
0.21, 0.783629
0.2, 0.807356
0.19, 0.797132
0.18, 0.817194
0.17, 0.83867
0.16, 0.835391
0.15, 0.852173
0.14, 0.850823
0.13, 0.874807
0.12, 0.879565
0.11, 0.89384
0.1, 0.908115
0.09, 0.906507
0.08, 0.914866
0.07, 0.928241
0.06, 0.938915
0.05, 0.95216
0.04, 0.962384
0.03, 0.978459
0.02, 0.974151
0.01, 0.986561
