HAWAIAN AIRLINES - 1998 DAILY CLOSES                                            

     THE VALUE OF Q IS:   0.10040E+01
     THE VALUE OF R IS:   0.20500E+00
     THE FILTER LENGTH IS:      5
     THE PREDICTION LENGTH IS:      1
     THE BASELINE VALUE IS:   0.00000E+00
     THE TEST FACTOR VALUE IS:   0.10100E+01


      I      TRUE_X        PRED_X        ERROR            Q             R   
     70   0.32500E+01   0.33404E+01  -0.90375E-01   0.13625E-12   0.15106E+13
     71   0.32500E+01   0.32909E+01  -0.40929E-01   0.13625E-12   0.15106E+13
     72   0.32500E+01   0.32823E+01  -0.32345E-01   0.13625E-12   0.15106E+13
     73   0.33750E+01   0.32404E+01   0.13463E+00   0.13625E-12   0.15106E+13
     74   0.33125E+01   0.33764E+01  -0.63923E-01   0.13625E-12   0.15106E+13
     75   0.31875E+01   0.33839E+01  -0.19638E+00   0.13625E-12   0.15106E+13
     76   0.31875E+01   0.32599E+01  -0.72401E-01   0.13625E-12   0.15106E+13
     77   0.31250E+01   0.31996E+01  -0.74560E-01   0.13625E-12   0.15106E+13
     78   0.31875E+01   0.30505E+01   0.13696E+00   0.13625E-12   0.15106E+13
     79   0.30000E+01   0.31570E+01  -0.15703E+00   0.13625E-12   0.15106E+13
     80   0.28750E+01   0.29922E+01  -0.11723E+00   0.13625E-12   0.15106E+13
     81   0.28750E+01   0.28373E+01   0.37744E-01   0.13625E-12   0.15106E+13
     82   0.30000E+01   0.27819E+01   0.21814E+00   0.13625E-12   0.15106E+13
     83   0.30000E+01   0.28955E+01   0.10450E+00   0.13625E-12   0.15106E+13
     84   0.28125E+01   0.30218E+01  -0.20930E+00   0.13625E-12   0.15106E+13
     85   0.28750E+01   0.28929E+01  -0.17938E-01   0.13625E-12   0.15106E+13
     86   0.28750E+01   0.29083E+01  -0.33269E-01   0.13625E-12   0.15106E+13
     87   0.28125E+01   0.28176E+01  -0.51255E-02   0.13625E-12   0.15106E+13
     88   0.28750E+01   0.27912E+01   0.83845E-01   0.13625E-12   0.15106E+13
     89   0.28125E+01   0.29230E+01  -0.11050E+00   0.13625E-12   0.15106E+13
     90   0.27500E+01   0.28200E+01  -0.69976E-01   0.13625E-12   0.15106E+13
     91   0.26875E+01   0.27616E+01  -0.74098E-01   0.13625E-12   0.15106E+13
     92   0.28125E+01   0.26788E+01   0.13369E+00   0.13625E-12   0.15106E+13
     93   0.27500E+01   0.27766E+01  -0.26647E-01   0.13625E-12   0.15106E+13
     94   0.27500E+01   0.27504E+01  -0.44774E-03   0.13625E-12   0.15106E+13
     95   0.26875E+01   0.28074E+01  -0.11993E+00   0.13625E-12   0.15106E+13
     96   0.26875E+01   0.27272E+01  -0.39701E-01   0.13625E-12   0.15106E+13
     97   0.27500E+01   0.26699E+01   0.80053E-01   0.13625E-12   0.15106E+13
     98   0.27500E+01   0.27531E+01  -0.31185E-02   0.13625E-12   0.15106E+13
     99   0.26250E+01   0.27752E+01  -0.15024E+00   0.13625E-12   0.15106E+13
    100   0.26250E+01   0.26749E+01  -0.49853E-01   0.13625E-12   0.15106E+13
    101   0.26250E+01   0.26404E+01  -0.15390E-01   0.13625E-12   0.15106E+13
    102   0.25000E+01   0.25809E+01  -0.80852E-01   0.13625E-12   0.15106E+13
    103   0.25000E+01   0.24566E+01   0.43413E-01   0.13625E-12   0.15106E+13
    104   0.23750E+01   0.24866E+01  -0.11161E+00   0.13625E-12   0.15106E+13
    105   0.24375E+01   0.23106E+01   0.12692E+00   0.13625E-12   0.15106E+13
    106   0.24375E+01   0.23774E+01   0.60110E-01   0.13625E-12   0.15106E+13
    107   0.22500E+01   0.24122E+01  -0.16224E+00   0.13625E-12   0.15106E+13
    108   0.23750E+01   0.22322E+01   0.14285E+00   0.13625E-12   0.15106E+13
    109   0.26250E+01   0.23839E+01   0.24112E+00   0.13625E-12   0.15106E+13
    110   0.24375E+01   0.26206E+01  -0.18309E+00   0.13625E-12   0.15106E+13
    111   0.25000E+01   0.25157E+01  -0.15742E-01   0.13625E-12   0.15106E+13
    112   0.25625E+01   0.26775E+01  -0.11500E+00   0.13625E-12   0.15106E+13
    113   0.26875E+01   0.26196E+01   0.67863E-01   0.13625E-12   0.15106E+13
    114   0.27500E+01   0.27119E+01   0.38142E-01   0.13625E-12   0.15106E+13
    115   0.26250E+01   0.28968E+01  -0.27181E+00   0.13625E-12   0.15106E+13
    116   0.25625E+01   0.27604E+01  -0.19787E+00   0.13625E-12   0.15106E+13
    117   0.26250E+01   0.26330E+01  -0.79564E-02   0.13625E-12   0.15106E+13
    118   0.26250E+01   0.25959E+01   0.29138E-01   0.13625E-12   0.15106E+13
    119   0.26250E+01   0.25843E+01   0.40675E-01   0.13625E-12   0.15106E+13
    120   0.25000E+01   0.26649E+01  -0.16490E+00   0.13625E-12   0.15106E+13
    121   0.25000E+01   0.25386E+01  -0.38635E-01   0.13625E-12   0.15106E+13
    122   0.24375E+01   0.24866E+01  -0.49107E-01   0.13625E-12   0.15106E+13
    123   0.25000E+01   0.23825E+01   0.11750E+00   0.13625E-12   0.15106E+13
    124   0.23750E+01   0.24616E+01  -0.86646E-01   0.13625E-12   0.15106E+13
    125   0.23750E+01   0.23688E+01   0.62435E-02   0.13625E-12   0.15106E+13
    126   0.23125E+01   0.23700E+01  -0.57456E-01   0.13625E-12   0.15106E+13
    127   0.24375E+01   0.22834E+01   0.15408E+00   0.13625E-12   0.15106E+13
    128   0.24375E+01   0.24071E+01   0.30372E-01   0.13625E-12   0.15106E+13
    129   0.23750E+01   0.24704E+01  -0.95411E-01   0.13625E-12   0.15106E+13
    130   0.23125E+01   0.24405E+01  -0.12797E+00   0.13625E-12   0.15106E+13
    131   0.21875E+01   0.23640E+01  -0.17649E+00   0.13625E-12   0.15106E+13
    132   0.24375E+01   0.21370E+01   0.30047E+00   0.13625E-12   0.15106E+13
    133   0.23125E+01   0.23937E+01  -0.81204E-01   0.13625E-12   0.15106E+13
    134   0.24375E+01   0.23042E+01   0.13333E+00   0.13625E-12   0.15106E+13
    135   0.23750E+01   0.25346E+01  -0.15962E+00   0.13625E-12   0.15106E+13
    136   0.25625E+01   0.24708E+01   0.91741E-01   0.13625E-12   0.15106E+13
    137   0.25000E+01   0.26165E+01  -0.11653E+00   0.13625E-12   0.15106E+13
    138   0.24375E+01   0.26007E+01  -0.16317E+00   0.13625E-12   0.15106E+13
    139   0.23125E+01   0.25198E+01  -0.20728E+00   0.13625E-12   0.15106E+13
    140   0.24375E+01   0.23455E+01   0.91990E-01   0.13625E-12   0.15106E+13
    141   0.23750E+01   0.23763E+01  -0.13058E-02   0.13625E-12   0.15106E+13
    142   0.23750E+01   0.23340E+01   0.40988E-01   0.13625E-12   0.15106E+13
    143   0.23750E+01   0.24008E+01  -0.25779E-01   0.13625E-12   0.15106E+13
    144   0.24375E+01   0.24198E+01   0.17685E-01   0.13625E-12   0.15106E+13
