tt1, tt2, tt3, ph, sum1, sum3 = .67379469990854670E-002  .0000000000000000  5.0534602493141003  -50.000000000000000  .13475893998170934E-001  .0000000000000000
   1. .0000000000000000, .0000000000000000, .0000000000000000, .0000000000000000
   2. .0000000000000000, -.67379469990854670E-002, 5.0669361433122715, -.67379469990854670E-002
   3. .0000000000000000, -.67379469990854670E-002, 5.0669361433122715, -.67379469990854670E-002
   4. .0000000000000000, -.67379469990854670E-002, 5.0669361433122715, -.67379469990854670E-002
   5. .0000000000000000, -.67379469990854670E-002, 5.0669361433122715, -.67379469990854670E-002
   6. .0000000000000000, -.67379469990854670E-002, 5.0669361433122715, -.67379469990854670E-002
   7. .0000000000000000, -.67379469990854670E-002, 5.0669361433122715, -.67379469990854670E-002
   8. .0000000000000000, -.67379469990854670E-002, 5.0669361433122715, -.67379469990854670E-002
   9. .0000000000000000, -.67379469990854670E-002, 5.0669361433122715, -.67379469990854670E-002
  10. .0000000000000000, -.67379469990854670E-002, 5.0669361433122715, -.67379469990854670E-002
  11. .0000000000000000, .0000000000000000, .0000000000000000, .0000000000000000
