10,  8,  0.10660455199831631,  0.19070020584877057E-006
20,  8,  0.79929902996809687E-001,  0.95355181528589128E-007
30,  8,  0.10918983400188154,  0.63571694575159654E-007
40,  8,  0.12847947899717838,  0.47679473702544328E-007
50,  8,  0.17182123099337332,  0.38143775693555426E-007
60,  8,  0.19712287100264803,  0.31786658638566223E-007
70,  8,  0.21257271200011019,  0.27245969924649671E-007
80,  8,  0.24363171399454586,  0.23840329710367314E-007
90,  8,  0.27037351099716034,  0.21191514765206421E-007
100,  8,  0.29890876300487434,  0.19072464940705913E-007
